state_code,county_code,site_num,poc,date_local,latitude,longitude,state_name,county_name,city_name,cbsa_name,arithmetic_mean,pm25_max,aqi,wind_mean,press_mean,rh_mean,dew_point_max,PRCP,TMAX,TMIN,month,year,season,high_pm25_day
6,37,1103,1,2024-01-22,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",4.843055666666667,10.2,25.5,68.847917,998.291667,98.625,100.0,29.2,15.0,12.8,1,2024,Winter,0
6,37,1103,1,2024-01-23,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",8.604166666666666,16.8,45.0,64.520833,1002.416667,80.833333,100.0,0.0,17.8,10.6,1,2024,Winter,0
6,37,1103,1,2024-01-24,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",9.458333333333334,16.3,51.5,55.1645835,1009.25,84.416667,95.0,0.0,16.7,12.2,1,2024,Winter,0
6,37,1103,1,2024-01-25,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",7.91458325,20.0,41.666666666666664,63.875,1009.666667,90.083333,100.0,1.3,16.1,11.7,1,2024,Winter,0
6,37,1103,1,2024-01-26,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",9.237499999999999,20.0,47.0,57.160417,1012.083333,63.458333,97.0,0.0,21.1,10.0,1,2024,Winter,0
6,37,1103,1,2024-01-27,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",9.855555666666667,20.2,50.5,48.375,1011.083333,43.625,71.0,0.0,24.4,11.7,1,2024,Winter,0
6,37,1103,1,2024-01-28,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",8.773611,22.4,46.5,46.9041665,1009.208333,41.25,63.0,0.0,25.6,10.6,1,2024,Winter,0
6,37,1103,1,2024-01-29,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",8.211111,15.4,43.5,57.302082999999996,1008.416667,36.916667,55.0,0.0,25.6,12.2,1,2024,Winter,0
6,37,1103,3,2024-01-30,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",11.4166665,21.5,55.0,64.45869549999999,1005.333333,48.304348,71.0,0.0,22.2,11.1,1,2024,Winter,0
6,37,1103,1,2024-01-31,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",14.571875,24.7,61.333333333333336,52.0,1002.0,69.375,90.0,0.0,17.8,11.1,1,2024,Winter,0
6,37,1103,1,2024-02-01,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5.798611,12.8,30.5,70.18125,996.0,88.833333,98.0,63.2,15.0,9.4,2,2024,Winter,0
6,37,1103,1,2024-02-02,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",7.513889,39.1,38.5,85.66458349999999,1000.5,79.666667,100.0,0.3,15.6,10.0,2,2024,Winter,0
6,37,1103,1,2024-02-03,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",6.916666666666667,10.9,37.0,67.08125,1003.75,74.0,93.0,2.3,14.4,8.9,2,2024,Winter,0
